canonical_symbol,binance_symbol,delta_symbol,listed_on_binance,listed_on_delta
0G,0GUSDT,,True,False
1000000BOB,1000000BOBUSDT,,True,False
1000000MOG,1000000MOGUSDT,,True,False
1000BONK,1000BONKUSDT,,True,False
1000CAT,1000CATUSDT,,True,False
1000CHEEMS,1000CHEEMSUSDT,,True,False
1000FLOKI,1000FLOKIUSDT,,True,False
1000LUNC,1000LUNCUSDT,,True,False
1000PEPE,1000PEPEUSDT,,True,False
1000RATS,1000RATSUSDT,,True,False
1000SATS,1000SATSUSDT,,True,False
1000SHIB,1000SHIBUSDT,1000SHIBUSD,True,True
1000XEC,1000XECUSDT,,True,False
1INCH,1INCHUSDT,,True,False
1MBABYDOGE,1MBABYDOGEUSDT,,True,False
2Z,2ZUSDT,,True,False
4,4USDT,,True,False
A,AUSDT,,True,False
AAVE,AAVEUSDT,,True,False
ACE,ACEUSDT,,True,False
ACH,ACHUSDT,,True,False
ACT,ACTUSDT,,True,False
ACU,ACUUSDT,,True,False
ACX,ACXUSDT,,True,False
ADA,ADAUSDT,ADAUSD,True,True
AERGO,AERGOUSDT,,True,False
AERO,AEROUSDT,,True,False
AEVO,AEVOUSDT,,True,False
AGLD,AGLDUSDT,,True,False
AGT,AGTUSDT,,True,False
AIA,AIAUSDT,,True,False
AIGENSYN,AIGENSYNUSDT,,True,False
AIN,AINUSDT,,True,False
AIO,AIOUSDT,,True,False
AIOT,AIOTUSDT,,True,False
AIXBT,AIXBTUSDT,,True,False
AKE,AKEUSDT,,True,False
AKT,AKTUSDT,,True,False
ALCH,ALCHUSDT,,True,False
ALGO,ALGOUSDT,,True,False
ALICE,ALICEUSDT,,True,False
ALL,ALLUSDT,,True,False
ALLO,ALLOUSDT,,True,False
ALPINE,ALPINEUSDT,,True,False
ALT,ALTUSDT,,True,False
ANIME,ANIMEUSDT,,True,False
ANKR,ANKRUSDT,,True,False
APE,APEUSDT,,True,False
API3,API3USDT,,True,False
APR,APRUSDT,,True,False
APT,APTUSDT,,True,False
AR,ARUSDT,,True,False
ARB,ARBUSDT,,True,False
ARC,ARCUSDT,,True,False
ARIA,ARIAUSDT,,True,False
ARK,ARKUSDT,,True,False
ARKM,ARKMUSDT,,True,False
ARPA,ARPAUSDT,,True,False
ASR,ASRUSDT,,True,False
ASTER,ASTERUSDT,,True,False
ASTR,ASTRUSDT,,True,False
AT,ATUSDT,,True,False
ATA,ATAUSDT,,True,False
ATH,ATHUSDT,,True,False
ATOM,ATOMUSDT,,True,False
AUCTION,AUCTIONUSDT,,True,False
AVA,AVAUSDT,,True,False
AVAAI,AVAAIUSDT,,True,False
AVAX,AVAXUSDT,,True,False
AVNT,AVNTUSDT,,True,False
AWE,AWEUSDT,,True,False
AXL,AXLUSDT,,True,False
AXS,AXSUSDT,,True,False
AZTEC,AZTECUSDT,,True,False
B,BUSDT,,True,False
B2,B2USDT,,True,False
BABY,BABYUSDT,,True,False
BAN,BANUSDT,,True,False
BANANA,BANANAUSDT,,True,False
BANANAS31,BANANAS31USDT,,True,False
BAND,BANDUSDT,,True,False
BANK,BANKUSDT,,True,False
BARD,BARDUSDT,,True,False
BAS,BASUSDT,,True,False
BASED,BASEDUSDT,,True,False
BAT,BATUSDT,,True,False
BB,BBUSDT,,True,False
BCH,BCHUSDT,,True,False
BEAMX,BEAMXUSDT,,True,False
BEAT,BEATUSDT,,True,False
BEL,BELUSDT,,True,False
BERA,BERAUSDT,,True,False
BICO,BICOUSDT,,True,False
BIGTIME,BIGTIMEUSDT,,True,False
BIO,BIOUSDT,,True,False
BIRB,BIRBUSDT,,True,False
BLESS,BLESSUSDT,,True,False
BLUAI,BLUAIUSDT,,True,False
BLUR,BLURUSDT,,True,False
BMT,BMTUSDT,,True,False
BNB,BNBUSDT,BNBUSD,True,False
BNT,BNTUSDT,,True,False
BOME,BOMEUSDT,,True,False
BR,BRUSDT,,True,False
BRETT,BRETTUSDT,,True,False
BREV,BREVUSDT,,True,False
BROCCOLI714,BROCCOLI714USDT,,True,False
BROCCOLIF3B,BROCCOLIF3BUSDT,,True,False
BSB,BSBUSDT,,True,False
BSV,BSVUSDT,,True,False
BTC,BTCUSDT,BTCUSD,True,True
BTCDOM,BTCDOMUSDT,,True,False
BTR,BTRUSDT,,True,False
BULLA,BULLAUSDT,,True,False
C,CUSDT,,True,False
C98,C98USDT,,True,False
CAKE,CAKEUSDT,,True,False
CARV,CARVUSDT,,True,False
CATI,CATIUSDT,,True,False
CC,CCUSDT,,True,False
CELO,CELOUSDT,,True,False
CELR,CELRUSDT,,True,False
CETUS,CETUSUSDT,,True,False
CFG,CFGUSDT,,True,False
CFX,CFXUSDT,,True,False
CGPT,CGPTUSDT,,True,False
CHILLGUY,CHILLGUYUSDT,,True,False
CHIP,CHIPUSDT,,True,False
CHR,CHRUSDT,,True,False
CHZ,CHZUSDT,,True,False
CKB,CKBUSDT,,True,False
CLANKER,CLANKERUSDT,,True,False
CLO,CLOUSDT,,True,False
COAI,COAIUSDT,,True,False
COLLECT,COLLECTUSDT,,True,False
COMP,COMPUSDT,,True,False
COOKIE,COOKIEUSDT,,True,False
COS,COSUSDT,,True,False
COTI,COTIUSDT,,True,False
COW,COWUSDT,,True,False
CROSS,CROSSUSDT,,True,False
CRV,CRVUSDT,,True,False
CTK,CTKUSDT,,True,False
CTSI,CTSIUSDT,,True,False
CVC,CVCUSDT,,True,False
CVX,CVXUSDT,,True,False
CYBER,CYBERUSDT,,True,False
CYS,CYSUSDT,,True,False
D,DUSDT,,True,False
DASH,DASHUSDT,,True,False
DEEP,DEEPUSDT,,True,False
DEXE,DEXEUSDT,,True,False
DIA,DIAUSDT,,True,False
DODOX,DODOXUSDT,,True,False
